topic_id,round_id,cord_uid,relevancy
1,4.5,005b2j4b,2
1,4.0,00fmeepz,1
1,0.5,010vptx3,2
1,2.5,0194oljo,1
1,4.0,021q9884,1
1,1.0,02f0opkr,1
1,3.5,047xpt2c,0
1,1.0,04ftw7k9,0
1,1.0,05qglt1f,0
1,3.0,05vx82oo,0
1,1.0,0604jed8,0
1,2.5,06o2tbon,0
1,2.5,06ya15z8,0
1,1.0,084o1dmp,0
1,2.5,08ds967z,1
1,1.5,08efpohc,0
1,2.5,0b4o0ccp,0
1,0.5,0be4wta5,2
1,4.0,0chuwvg6,2
1,1.5,0cvoeiy0,0
1,1.5,0e1w86tg,1
1,3.0,0evw0fc5,1
1,0.5,0hnh4n9e,1
1,4.0,0iq9s94n,1
1,2.0,0khg28ex,0
1,3.0,0l33i6s4,0
1,1.5,0lyxvex0,0
1,4.0,0m5mc320,0
1,5.0,0ne21in2,1
1,1.0,0nh58odf,2
1,4.5,0oiq44gl,0
1,3.0,0paafp5j,0
1,1.0,0pbjttv4,0
1,1.5,0qaoam29,0
1,3.0,0qpfoh5t,0
1,5.0,0t2a5500,2
1,1.5,0ti403i4,0
1,3.5,0v5wo0ty,1
1,1.0,0xhho1sh,2
1,5.0,0xruezf2,1
1,2.5,0y34yxlb,2
1,4.0,105q161g,2
1,4.0,10ecm4wi,1
1,0.5,11edrkav,2
1,3.0,127c5bve,2
1,5.0,12dcftwt,2
1,5.0,13ir7swr,2
1,0.5,13jupb26,0
1,1.0,1585stal,0
1,1.5,16ciqu9w,0
1,2.0,16rgt4ca,0
1,5.0,18xs6375,0
1,1.0,1a8uevk8,0
1,3.0,1aal6njl,0
1,5.0,1abp6oom,2
1,4.5,1ag9jkk6,0
1,4.5,1bapn9w0,0
1,5.0,1bpc8g6n,0
1,2.0,1bvsn9e8,2
1,4.0,1c47w4q5,2
1,5.0,1de98sxz,0
1,3.0,1dogron2,1
1,1.0,1e28zj1d,0
1,0.5,1esupl4q,0
1,4.5,1eytelxn,1
1,0.5,1g2mup0k,0
1,0.5,1hwcp09t,0
1,3.0,1i6n6tv6,0
1,5.0,1ihz8z6q,1
1,3.5,1ldynibm,0
1,4.5,1ls84u6w,0
1,1.5,1mchg5yg,0
1,0.5,1mjaycee,2
1,5.0,1nrkfkv5,0
1,5.0,1p7fz9zr,1
1,1.5,1p941spn,0
1,4.0,1pnc889f,0
1,1.0,1qkwsh6a,2
1,1.0,1rhy8td0,0
1,4.0,1s25r3o0,0
1,4.5,1s2zsqoq,1
1,1.5,1s6dlcer,1
1,2.5,1spgrrmw,1
1,1.0,1sq2uvur,2
1,1.5,1ub01j2x,0
1,2.5,1x66nxgx,0
1,4.0,1xf2sxtv,1
1,3.0,1ybj2p1n,1
1,2.0,2054tkb7,2
1,5.0,2054zqw9,0
1,4.0,21fhsooy,0
1,4.5,21htepa1,0
1,4.0,22fc1qly,2
1,4.5,22ioujwl,0
1,2.5,23yi8so0,2
1,5.0,24viekl7,1
1,3.0,24yavi1w,2
1,4.5,25va2cvt,2
1,4.5,262bcl7h,2
1,2.0,26pcjts9,2
1,5.0,296ilxyg,0
1,5.0,2arx86a6,1
1,4.5,2b25p7t7,2
1,5.0,2dw318eg,0
1,5.0,2e4gz2bo,0
1,1.0,2f8c66zi,0
1,2.0,2fb4z0dr,0
1,0.5,2ftw85xw,2
1,1.0,2gokv7id,0
1,4.0,2hb28brw,0
1,4.5,2ip9nqwv,0
1,3.0,2kbi9drl,2
1,1.0,2kkw9nwa,0
1,3.0,2l4xxu3v,2
1,2.5,2lk8vq03,0
1,1.5,2m6ks6nd,1
1,5.0,2mrtq4ya,0
1,1.0,2mwahvq0,0
1,3.0,2qto9vsb,0
1,3.5,2s7ki6g7,1
1,4.0,2sjsxf96,0
1,4.0,2t3evpxf,0
1,2.5,2te9myos,0
1,2.5,2tu707ng,0
1,5.0,2tyt8255,1
1,1.0,2u4d235j,0
1,4.5,2upbpr8b,0
1,4.5,2uqf6qed,0
1,1.0,2uwnamao,0
1,3.0,2uxptj0y,1
1,1.0,2w0zr9c0,0
1,0.5,2w3bx6p8,0
1,1.0,2wshgzjk,0
1,4.0,2y452utz,1
1,2.5,2ytec133,1
1,5.0,2zaxn6tq,0
1,1.5,30duqivi,1
1,3.0,30j0auua,2
1,1.5,3114rz8f,1
1,1.5,32vs98ya,0
1,5.0,330hioeg,1
1,3.0,33fs6exl,2
1,2.5,33pxylb3,1
1,2.5,35k1tt3b,0
1,1.5,368pz09b,0
1,2.0,36g4zdqa,0
1,2.0,37dadupn,0
1,1.0,37l48ch4,0
1,5.0,37v59fs8,0
1,5.0,3840bxvn,2
1,5.0,391max5m,0
1,1.5,3b5jzndg,2
1,5.0,3bozjfv7,0
1,4.5,3dm9duoz,2
1,4.5,3e2soc6w,0
1,0.5,3en3yey1,0
1,4.0,3fiz0tqy,0
1,3.0,3g17e7sg,0
1,4.5,3g8pwbcq,1
1,1.0,3goj00ej,0
1,1.5,3h1o0oz3,2
1,2.5,3hmsknon,0
1,5.0,3jgedokv,2
1,4.0,3jireyep,0
1,4.0,3k1ks3wg,0
1,5.0,3ll2tlzr,1
1,1.5,3lqqk9da,0
1,4.0,3okdfxzq,0
1,3.5,3otc2ac1,0
1,3.0,3oxnox9j,0
1,4.0,3pqtmhob,0
1,0.5,3pvstiz6,0
1,3.0,3qqzthx8,0
1,2.5,3qzlo90e,0
1,2.0,3r8jbhhq,1
1,5.0,3saa7d76,0
1,1.0,3sacf4wu,0
1,3.0,3ta5lhnw,1
1,4.5,3uif1ve9,2
1,3.5,3uvuo4sf,2
1,2.0,3uyuwzyr,0
1,3.5,3we40x62,0
1,0.5,3wuh6k6g,0
1,4.5,3x2psny9,2
1,1.5,3xq5jwof,0
1,3.0,3xwbq8ov,2
1,3.5,3y4ulpkh,1
1,4.0,3zmq7nd5,0
1,3.0,3zy5dgxz,1
1,2.0,405jvqyv,0
1,5.0,41378qru,0
1,1.0,417tzufc,0
1,4.5,41rsi8ce,1
1,5.0,42wv7zl6,1
1,3.5,43gik8e3,2
1,2.0,44l5q07k,0
1,0.5,44zduv27,0
1,2.5,475nei28,2
1,5.0,479wkesk,0
1,4.5,480d3yfv,0
1,1.0,49360l2a,2
1,4.0,4almssg6,0
1,2.5,4ay3hsi7,0
1,5.0,4b6jtbor,0
1,3.0,4cy3er3y,0
1,3.0,4dtk1kyh,2
1,3.0,4fb291hq,1
1,1.5,4gpq5syb,0
1,4.0,4hvv4sep,0
1,1.0,4ihv80au,1
1,2.0,4ilpph77,0
1,1.0,4ismfcjt,0
1,1.0,4j6cbnk2,0
1,1.5,4j8b8z4t,0
1,4.5,4jag7lzb,0
1,2.5,4ko557n1,1
1,2.5,4mqxa2nw,0
1,5.0,4mtnqfqw,2
1,2.5,4n6v5kfv,0
1,2.5,4nmpwmzz,1
1,1.0,4nt20c06,1
1,2.5,4p1ah2h3,0
1,1.5,4qenzjiu,0
1,4.0,4sfgha4z,1
1,1.5,4txctk7k,0
1,3.0,4ulei2uh,1
1,4.5,4v5lo6dd,2
1,4.0,4ywt0yqn,0
1,4.0,4ze0mfxp,2
1,0.5,4zg3ms5b,2
1,3.0,50jgbtnr,0
1,0.5,50oy9qqy,0
1,3.5,50xzptr1,1
1,3.0,51nsm10x,0
1,3.0,51w1fe7k,2
1,5.0,5217c3jn,0
1,2.5,5283jsnu,1
1,1.0,52kqp9yw,2
1,3.5,52lcpf0x,0
1,4.5,533qw3h2,0
1,1.5,54t8xg3a,0
1,5.0,55loucvc,2
1,2.5,57x3j1np,0
1,4.0,59492sjb,2
1,3.0,594qzvsk,1
1,4.5,5aazi299,0
1,4.5,5d7zien3,0
1,1.0,5een8p3r,0
1,1.0,5ekdfers,0
1,1.5,5ezqv94a,0
1,2.0,5f2e6063,0
1,2.0,5f42du0b,2
1,0.5,5fg87lvu,2
1,3.5,5h7qyn1g,1
1,4.0,5hio4lgc,1
1,4.5,5hth74jb,0
1,4.5,5i2dxg8z,1
1,2.5,5jwmvjm6,0
1,3.0,5l10cbp2,1
1,1.0,5lm5ttai,0
1,3.5,5oisrm5s,1
1,1.5,5op2m7pu,0
1,4.0,5opiip58,0
1,5.0,5p16rrpc,0
1,2.0,5p29uhak,0
1,1.0,5p8gkbi7,2
1,4.5,5pv11lfo,1
1,1.5,5sfojk7y,0
1,1.5,5trqi9tp,0
1,4.0,5uwzo304,0
1,5.0,5w194etz,0
1,1.5,5xeergll,0
1,3.5,5yk1j4ms,1
1,2.5,602a2xdn,1
1,4.5,60p2a1i2,0
1,5.0,60xeqgrf,0
1,1.5,61snvddh,0
1,4.5,629fwmgk,1
1,1.0,65b267ic,2
1,2.5,65nroic5,0
1,1.0,662pfa61,0
1,4.0,66xk0qqq,1
1,1.5,679qfp2s,0
1,5.0,68g8noys,2
1,3.0,69fmtury,2
1,4.5,69jikv6s,0
1,5.0,6bv54unc,1
1,5.0,6bzfptbs,1
1,2.0,6c68pmem,2
1,3.5,6cbnpqjj,0
1,1.0,6dbt99h0,2
1,2.0,6dq8xx7c,0
1,5.0,6ez0u7iq,0
1,1.5,6foz003n,2
1,4.5,6fxeqgtu,1
1,3.5,6hyrcq7y,0
1,4.5,6ifjzt93,0
1,1.5,6jakyj24,0
1,4.0,6k5ac3f2,1
1,1.5,6lngz7y1,0
1,2.5,6mef38eo,0
1,2.0,6ml0puh8,1
1,2.0,6o8dt2bg,0
1,2.5,6q8afty7,0
1,2.5,6q90bayx,0
1,1.0,6r08hj06,0
1,4.0,6rpt47gm,0
1,3.0,6tzx945b,0
1,4.0,6v7oru2l,0
1,1.5,6wbrv9o1,0
1,2.5,6wsx0jby,1
1,4.5,6wu024ng,0
1,0.5,6xcctafe,0
1,5.0,6y1gwszn,1
1,1.5,6yfj4co0,2
1,5.0,6yh82e1w,2
1,3.5,6zfmjq9p,2
1,0.5,73a7uvyz,1
1,1.0,73xil5op,1
1,4.5,73ylxhb7,1
1,3.0,7463vcy9,0
1,5.0,74k12s1z,1
1,5.0,75773gwg,2
1,1.5,75cotmn2,0
1,5.0,75dwpw6l,2
1,5.0,76laky91,1
1,3.0,78w5fafs,0
1,3.0,79tozwzq,0
1,1.0,7aj3fx5u,1
1,1.0,7cb88t8n,1
1,3.0,7dlg582w,0
1,1.5,7e8zlt3t,0
1,4.5,7grrlb8l,0
1,3.5,7hw23xae,1
1,1.0,7i52vltp,1
1,5.0,7ij5el3p,0
1,2.0,7im0hci3,0
1,2.5,7kw9lws0,0
1,0.5,7mldvo3j,0
1,1.5,7nla9aji,0
1,3.0,7odpslba,0
1,1.5,7og47tqv,0
1,2.0,7q45jz7z,0
1,3.0,7utfozx5,0
1,1.0,7v5aln90,2
1,4.5,7vrm081c,0
1,3.5,7x3nq9cp,0
1,2.0,7yhko91n,0
1,1.5,7zbvgvk8,0
1,1.0,7zme0kxy,0
1,3.0,82709xmy,2
1,5.0,82x7gq5z,1
1,4.0,84hxim2n,0
1,1.5,84ib5ol5,0
1,2.0,85acs4lk,1
1,4.5,85cdy3f9,1
1,1.5,87d7gzgb,2
1,3.0,88yf7igp,0
1,1.0,89fol3pq,2
1,1.0,89sg0cpk,0
1,2.5,8a1cia8s,0
1,5.0,8a6y1qsf,0
1,2.0,8aj97x4n,1
1,4.0,8arwlhf0,2
1,1.0,8bw843ek,2
1,1.0,8c87geuy,0
1,1.0,8ccl9aui,2
1,0.5,8d1076ge,0
1,1.0,8d3dym7g,0
1,4.0,8dhoxvvs,2
1,0.5,8eg8zqnw,0
1,3.5,8ejc5543,0
1,4.0,8f5m0gej,0
1,1.5,8fmykb4c,0
